"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","SHG","SHA","SHPTS","GWG","ENG","PIM","Active","PPP","PPP_Percentage","RNK"
"Mathieu Paris","NO",54,2005-01-01,2005,6,175,"RW","Niagara IceDogs",29,8,13,21,0.72,5,0,0,2,1,3,0,0,6,1,0,0,34.5
"Easton Wainwright","NO",12,2005-01-19,2005,5.1,178,"C","Sarnia Sting",27,6,15,21,0.78,-7,1,2,0,1,1,1,0,17,1,3,14.3,10.5
"Braydon McCallum","YES",29,2006-05-03,2006,5.1,165,"RW","Peterborough Petes",36,6,15,21,0.58,8,1,2,1,0,1,0,1,80,1,3,14.3,-37.5
"Jackson Edward","NO",92,2004-02-27,2004,6.03,191,"D","London Knights",39,5,16,21,0.54,31,1,3,0,0,0,1,0,66,1,4,19,-1
"Alexis Daviault","NO",72,2005-06-17,2005,6,190,"D","Erie Otters",35,2,19,21,0.6,-1,0,11,0,0,0,0,0,26,1,11,52.4,5.5
"Antonino Pugliese","NO",44,2004-04-09,2004,5.09,179,"RW","Kitchener Rangers",40,14,6,20,0.5,14,1,0,2,0,2,4,0,50,1,1,5,1
"Mason Zebeski","NO",19,2005-10-04,2005,6.01,186,"LW","Mississauga Steelheads",40,14,6,20,0.5,3,3,1,0,0,0,3,0,39,1,4,20,1
"Ethan Procyszyn","NO",21,2006-07-11,2006,6.03,189,"C","North Bay Battalion",39,9,11,20,0.51,-4,1,1,0,0,0,1,0,40,1,2,10,-9.5
"Tommy Purdeller","NO",20,2004-04-13,2004,6,194,"C","Peterborough Petes",34,8,12,20,0.59,-15,3,6,0,0,0,1,0,18,1,9,45,1
"Eduard Šalé","NO",12,2005-03-10,2005,6.02,178,"RW","Kitchener Rangers",25,7,13,20,0.8,1,2,5,0,0,0,1,0,6,1,7,35,28.5
"Tai York","NO",23,2004-06-18,2004,6.01,185,"LW","Barrie Colts",33,7,13,20,0.61,3,0,3,0,0,0,0,0,8,1,3,15,28.5
"Cole Brown","NO",92,2005-04-27,2005,6.03,180,"RW","Brantford Bulldogs",39,7,13,20,0.51,-15,1,2,0,0,0,1,0,27,1,3,15,-8.5
"Luke Ellinas","YES",19,2006-03-12,2006,6.01,186,"LW","Kitchener Rangers",42,7,13,20,0.48,9,1,1,0,1,1,1,1,51,1,2,10,-8.5
"Chase Lefebvre","NO",7,2004-05-13,2004,6.02,170,"LW","Peterborough Petes",39,6,14,20,0.51,-22,0,5,0,0,0,1,0,14,1,5,25,-3
"Simon Motew","NO",46,2003-03-31,2003,6,187,"RD","Kitchener Rangers",42,5,15,20,0.48,16,0,1,0,0,0,0,0,38,1,1,5,10.5
"Nick Yearwood","NO",18,2004-07-15,2004,6,190,"LW","Sudbury Wolves",38,4,16,20,0.53,8,0,0,2,2,4,0,0,40,1,0,0,0
"Alex Pharand","NO",21,2005-01-05,2005,6.03,198,"RW","Sudbury Wolves",39,11,8,19,0.49,11,1,2,1,0,1,0,1,29,1,3,15.8,16
"Charlie Paquette","NO",23,2005-12-06,2005,6.01,192,"RW","Guelph Storm",41,11,8,19,0.46,-8,2,2,0,0,0,4,0,49,1,4,21.1,-23
"Chris Barlas","NO",9,2005-01-10,2005,5.1,185,"LW","Ottawa 67's",32,9,10,19,0.59,7,2,1,0,0,0,0,1,15,1,3,15.8,25
"Landen Hookey","NO",10,2004-01-29,2004,6.05,215,"RW","Owen Sound Attack",40,9,10,19,0.48,-2,2,1,0,0,0,2,1,47,1,3,15.8,-16
"Sebastien Gervais","NO",15,2005-04-11,2005,6.01,185,"LW","Saginaw Spirit",39,5,14,19,0.49,-5,2,2,0,0,0,1,0,15,1,4,21.1,11
"Jakub Fibigr","YES",5,2006-07-22,2006,6,171,"D","Mississauga Steelheads",33,4,15,19,0.58,-3,2,6,0,0,0,2,0,20,1,8,42.1,7.5
"Lukas Fischer","NO",13,2006-09-09,2006,6.03,170,"D","Sarnia Sting",41,4,15,19,0.46,-4,2,3,0,0,0,0,0,34,1,5,26.3,-7.5
"Roenick Jodoin","NO",92,2004-09-10,2004,5.06,157,"C","Barrie Colts",36,10,8,18,0.5,-10,3,0,0,0,0,1,0,16,1,3,16.7,6
"Taos Jordan","NO",24,2004-03-29,2004,5.11,187,"D","Owen Sound Attack",40,4,14,18,0.45,6,2,3,0,0,0,0,0,33,1,5,27.8,2
"Nathan Aspinall","NO",76,2006-03-30,2006,6.07,189,"LW","Flint Firebirds",38,12,5,17,0.45,-16,2,0,0,0,0,2,0,13,1,2,11.8,2.5
"Luca Testa","NO",91,2006-04-10,2006,6,172,"C","Brantford Bulldogs",21,11,6,17,0.81,1,4,1,0,0,0,1,0,12,1,5,29.4,20
"AJ Spellacy","NO",8,2006-02-24,2006,6.03,195,"C","Windsor Spitfires",38,10,7,17,0.45,-11,1,1,2,0,2,1,0,37,1,2,11.8,-17.5
"Calvin Crombie","NO",14,2005-09-03,2005,6,186,"RW","Brantford Bulldogs",31,9,8,17,0.55,1,0,1,0,0,0,1,0,35,1,1,5.9,-4
